Name	Crit_1_constr	Crit_1_op
CAR_DIESEL	0.000028	0.000000
CAR_NG	1096.383678	0.000000
CAR_METHANOL	0.000067	0.000000
CAR_HEV	0.000077	0.000000
CAR_PHEV	0.004466	0.000000
CAR_BEV	16028.711396	0.000000
CAR_FUEL_CELL	0.000034	0.000000
TRAIN_FREIGHT	208.049384	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000005	0.000000
BOAT_FREIGHT_METHANOL	0.000036	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.037441	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000001	0.000000
HABER_BOSCH	0.000001	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000001	0.000000
BIOMASS_TO_METHANOL	0.000001	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000
OIL_TO_HVC	0.000003	0.000000
GAS_TO_HVC	0.000001	0.000000
BIOMASS_TO_HVC	0.000001	0.000000
METHANOL_TO_HVC	10.790974	0.000000
PHS	5.939922	0.000000
BATT_LI	0.000036	0.000000
BEV_BATT	6728.199917	0.000000
PHEV_BATT	0.000533	0.000000
TS_DEC_DIRECT_ELEC	0.000337	0.000000
TS_DEC_HP_ELEC	13307.066042	0.000000
TS_DEC_THHP_GAS	0.003143	0.000000
TS_DEC_COGEN_GAS	0.080512	0.000000
TS_DEC_COGEN_OIL	0.129098	0.000000
TS_DEC_ADVCOGEN_GAS	0.047174	0.000000
TS_DEC_ADVCOGEN_H2	0.046715	0.000000
TS_DEC_BOILER_GAS	0.003337	0.000000
TS_DEC_BOILER_WOOD	0.076856	0.000000
TS_DEC_BOILER_OIL	0.003295	0.000000
TS_DHN_DAILY	4851.792069	0.000000
TS_DHN_SEASONAL	653794.957524	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	5.867190	0.000000
H2_STORAGE	1.036153	0.000000
DIESEL_STORAGE	838.615118	0.000000
GASOLINE_STORAGE	504.998233	0.000000
LFO_STORAGE	551.056305	0.000000
AMMONIA_STORAGE	0.364410	0.000000
METHANOL_STORAGE	0.033764	0.000000
CO2_STORAGE	0.028296	0.000000
AMMONIA_TO_H2	0.000001	0.000000
ATM_CCS	0.000002	0.000000
BIO_HYDROLYSIS	20.653979	0.000000
BIOMETHANATION	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	382.271449	0.000000
GASIFICATION_SNG	0.000148	0.000000
GRID	4.284342	0.000000
H2_BIOMASS	0.000004	0.000000
H2_ELECTROLYSIS	0.000025	0.000000
INDUSTRY_CCS	0.000006	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000001	0.000000
SMR	0.000013	0.000000
SYN_METHANATION	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000000	0.000000
REDIFUEL	0.000000	0.000000
ELECTRICITY	0.000000	4024.827199
GASOLINE	0.000000	0.000198
DIESEL	0.000000	0.000785
BIOETHANOL	0.000000	0.000432
BIODIESEL	0.000000	1593.415062
LFO	0.000000	0.000951
GAS	0.000000	0.000003
GAS_RE	0.000000	10787.530476
WOOD	0.000000	538.199959
WET_BIOMASS	0.000000	8168.999718
COAL	0.000000	0.001310
URANIUM	0.000000	0.000000
WASTE	0.000000	8668.599845
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
