Name	RSC_constr	RSC_op
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	16.277259	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.024353	0.000000
BATT_LI	0.000001	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000001	0.000000
TS_DEC_HP_ELEC	0.272215	0.000000
TS_DEC_THHP_GAS	0.000001	0.000000
TS_DEC_COGEN_GAS	0.000001	0.000000
TS_DEC_COGEN_OIL	0.000001	0.000000
TS_DEC_ADVCOGEN_GAS	0.000001	0.000000
TS_DEC_ADVCOGEN_H2	0.000001	0.000000
TS_DEC_BOILER_GAS	0.000001	0.000000
TS_DEC_BOILER_WOOD	0.000001	0.000000
TS_DEC_BOILER_OIL	0.000001	0.000000
TS_DHN_DAILY	0.000002	0.000000
TS_DHN_SEASONAL	0.000089	0.000000
TS_HIGH_TEMP	0.000003	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
ATM_CCS	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000001	0.000000
SMR	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
ELECTRICITY	0.000000	8.549154
GASOLINE	0.000000	0.000003
DIESEL	0.000000	0.000005
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000001
LFO	0.000000	0.000006
GAS	0.000000	8342.906008
GAS_RE	0.000000	0.000000
WOOD	0.000000	23.400000
WET_BIOMASS	0.000000	0.000002
COAL	0.000000	0.000001
URANIUM	0.000000	0.000000
WASTE	0.000000	0.000003
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
